"tick","Zombie Count","Human Count"
1.0,2,999
2.0,3,998
3.0,4,997
4.0,4,997
5.0,5,996
6.0,6,995
7.0,8,993
8.0,10,991
9.0,12,989
10.0,13,988
11.0,15,986
12.0,16,985
13.0,16,985
14.0,17,984
15.0,20,981
16.0,21,980
17.0,23,978
18.0,26,975
19.0,30,971
20.0,34,967
21.0,35,966
22.0,35,966
23.0,40,961
24.0,42,959
25.0,45,956
26.0,45,956
27.0,47,954
28.0,56,945
29.0,64,937
30.0,68,933
31.0,71,930
32.0,79,922
33.0,91,910
34.0,97,904
35.0,107,894
36.0,116,885
37.0,126,875
38.0,127,874
39.0,138,863
40.0,148,853
41.0,154,847
42.0,161,840
43.0,165,836
44.0,176,825
45.0,183,818
46.0,189,812
47.0,197,804
48.0,219,782
49.0,233,768
50.0,245,756
51.0,257,744
52.0,271,730
53.0,284,717
54.0,298,703
55.0,313,688
56.0,326,675
57.0,349,652
58.0,378,623
59.0,408,593
60.0,433,568
61.0,455,546
62.0,467,534
63.0,483,518
64.0,502,499
65.0,527,474
66.0,544,457
67.0,572,429
68.0,593,408
69.0,613,388
70.0,640,361
71.0,664,337
72.0,694,307
73.0,716,285
74.0,736,265
75.0,759,242
76.0,781,220
77.0,802,199
78.0,825,176
79.0,859,142
80.0,890,111
81.0,911,90
82.0,930,71
83.0,941,60
84.0,958,43
85.0,962,39
86.0,967,34
87.0,973,28
88.0,979,22
89.0,986,15
90.0,990,11
91.0,991,10
92.0,991,10
93.0,992,9
94.0,993,8
95.0,993,8
96.0,993,8
97.0,994,7
98.0,996,5
99.0,996,5
100.0,997,4
101.0,998,3
102.0,999,2
103.0,1000,1
104.0,1001,0
105.0,1001,0
106.0,1001,0
107.0,1001,0
108.0,1001,0
109.0,1001,0
110.0,1001,0
111.0,1001,0
112.0,1001,0
113.0,1001,0
114.0,1001,0
115.0,1001,0
116.0,1001,0
117.0,1001,0
118.0,1001,0
119.0,1001,0
120.0,1001,0
121.0,1001,0
122.0,1001,0
123.0,1001,0
124.0,1001,0
125.0,1001,0
126.0,1001,0
127.0,1001,0
128.0,1001,0
129.0,1001,0
130.0,1001,0
131.0,1001,0
132.0,1001,0
133.0,1001,0
134.0,1001,0
135.0,1001,0
136.0,1001,0
137.0,1001,0
138.0,1001,0
139.0,1001,0
140.0,1001,0
141.0,1001,0
142.0,1001,0
143.0,1001,0
144.0,1001,0
145.0,1001,0
146.0,1001,0
147.0,1001,0
148.0,1001,0
149.0,1001,0
150.0,1001,0
151.0,1001,0
152.0,1001,0
153.0,1001,0
154.0,1001,0
155.0,1001,0
156.0,1001,0
157.0,1001,0
158.0,1001,0
159.0,1001,0
160.0,1001,0
161.0,1001,0
162.0,1001,0
163.0,1001,0
164.0,1001,0
165.0,1001,0
166.0,1001,0
