"tick","Zombie Count","Human Count"
1.0,5,998
2.0,6,997
3.0,9,994
4.0,10,993
5.0,13,990
6.0,14,989
7.0,18,985
8.0,21,982
9.0,23,980
10.0,27,976
11.0,28,975
12.0,32,971
13.0,32,971
14.0,34,969
15.0,36,967
16.0,41,962
17.0,46,957
18.0,49,954
19.0,56,947
20.0,61,942
21.0,67,936
22.0,72,931
23.0,74,929
24.0,80,923
25.0,89,914
26.0,100,903
27.0,108,895
28.0,114,889
29.0,127,876
30.0,139,864
31.0,152,851
32.0,163,840
33.0,177,826
34.0,199,804
35.0,219,784
36.0,236,767
37.0,254,749
38.0,270,733
39.0,286,717
40.0,307,696
41.0,331,672
42.0,360,643
43.0,385,618
44.0,401,602
45.0,421,582
46.0,438,565
47.0,452,551
48.0,471,532
49.0,486,517
50.0,507,496
51.0,526,477
52.0,541,462
53.0,559,444
54.0,580,423
55.0,603,400
56.0,633,370
57.0,661,342
58.0,685,318
59.0,708,295
60.0,718,285
61.0,737,266
62.0,751,252
63.0,768,235
64.0,785,218
65.0,798,205
66.0,810,193
67.0,822,181
68.0,846,157
69.0,869,134
70.0,894,109
71.0,913,90
72.0,927,76
73.0,940,63
74.0,950,53
75.0,958,45
76.0,964,39
77.0,970,33
78.0,977,26
79.0,981,22
80.0,984,19
81.0,989,14
82.0,991,12
83.0,992,11
84.0,995,8
85.0,996,7
86.0,999,4
87.0,999,4
88.0,1000,3
89.0,1000,3
90.0,1000,3
91.0,1001,2
92.0,1002,1
93.0,1003,0
94.0,1003,0
95.0,1003,0
96.0,1003,0
97.0,1003,0
98.0,1003,0
99.0,1003,0
100.0,1003,0
101.0,1003,0
102.0,1003,0
103.0,1003,0
104.0,1003,0
105.0,1003,0
106.0,1003,0
107.0,1003,0
108.0,1003,0
109.0,1003,0
110.0,1003,0
111.0,1003,0
112.0,1003,0
113.0,1003,0
114.0,1003,0
115.0,1003,0
116.0,1003,0
117.0,1003,0
118.0,1003,0
119.0,1003,0
120.0,1003,0
121.0,1003,0
122.0,1003,0
123.0,1003,0
124.0,1003,0
125.0,1003,0
126.0,1003,0
127.0,1003,0
128.0,1003,0
129.0,1003,0
130.0,1003,0
131.0,1003,0
132.0,1003,0
133.0,1003,0
134.0,1003,0
135.0,1003,0
136.0,1003,0
137.0,1003,0
138.0,1003,0
139.0,1003,0
140.0,1003,0
141.0,1003,0
142.0,1003,0
143.0,1003,0
144.0,1003,0
145.0,1003,0
146.0,1003,0
147.0,1003,0
148.0,1003,0
149.0,1003,0
150.0,1003,0
151.0,1003,0
152.0,1003,0
153.0,1003,0
154.0,1003,0
155.0,1003,0
156.0,1003,0
157.0,1003,0
158.0,1003,0
159.0,1003,0
160.0,1003,0
161.0,1003,0
162.0,1003,0
163.0,1003,0
164.0,1003,0
165.0,1003,0
166.0,1003,0
167.0,1003,0
168.0,1003,0
169.0,1003,0
170.0,1003,0
171.0,1003,0
172.0,1003,0
173.0,1003,0
174.0,1003,0
175.0,1003,0
176.0,1003,0
177.0,1003,0
178.0,1003,0
179.0,1003,0
180.0,1003,0
181.0,1003,0
182.0,1003,0
183.0,1003,0
184.0,1003,0
185.0,1003,0
186.0,1003,0
187.0,1003,0
188.0,1003,0
189.0,1003,0
190.0,1003,0
191.0,1003,0
192.0,1003,0
193.0,1003,0
194.0,1003,0
195.0,1003,0
196.0,1003,0
197.0,1003,0
198.0,1003,0
199.0,1003,0
200.0,1003,0
201.0,1003,0
202.0,1003,0
203.0,1003,0
204.0,1003,0
205.0,1003,0
206.0,1003,0
207.0,1003,0
208.0,1003,0
209.0,1003,0
210.0,1003,0
211.0,1003,0
212.0,1003,0
213.0,1003,0
214.0,1003,0
215.0,1003,0
216.0,1003,0
217.0,1003,0
218.0,1003,0
219.0,1003,0
220.0,1003,0
221.0,1003,0
222.0,1003,0
223.0,1003,0
224.0,1003,0
225.0,1003,0
226.0,1003,0
227.0,1003,0
228.0,1003,0
229.0,1003,0
230.0,1003,0
231.0,1003,0
232.0,1003,0
233.0,1003,0
234.0,1003,0
235.0,1003,0
236.0,1003,0
237.0,1003,0
238.0,1003,0
239.0,1003,0
240.0,1003,0
241.0,1003,0
242.0,1003,0
243.0,1003,0
244.0,1003,0
245.0,1003,0
246.0,1003,0
247.0,1003,0
248.0,1003,0
249.0,1003,0
250.0,1003,0
251.0,1003,0
252.0,1003,0
253.0,1003,0
254.0,1003,0
255.0,1003,0
256.0,1003,0
257.0,1003,0
258.0,1003,0
259.0,1003,0
260.0,1003,0
261.0,1003,0
262.0,1003,0
263.0,1003,0
264.0,1003,0
265.0,1003,0
266.0,1003,0
267.0,1003,0
268.0,1003,0
269.0,1003,0
270.0,1003,0
271.0,1003,0
272.0,1003,0
273.0,1003,0
274.0,1003,0
