"tick","Zombie Count","Human Count"
1.0,1,500
2.0,1,500
3.0,1,500
4.0,1,500
5.0,1,500
6.0,1,500
7.0,1,500
8.0,1,500
9.0,1,500
10.0,1,500
11.0,1,500
12.0,1,500
13.0,1,500
14.0,1,500
15.0,2,499
16.0,2,499
17.0,2,499
18.0,2,499
19.0,2,499
20.0,3,498
21.0,3,498
22.0,3,498
23.0,3,498
24.0,3,498
25.0,4,497
26.0,4,497
27.0,4,497
28.0,4,497
29.0,5,496
30.0,6,495
31.0,7,494
32.0,7,494
33.0,8,493
34.0,8,493
35.0,9,492
36.0,11,490
37.0,11,490
38.0,13,488
39.0,14,487
40.0,15,486
41.0,16,485
42.0,16,485
43.0,17,484
44.0,21,480
45.0,23,478
46.0,26,475
47.0,30,471
48.0,31,470
49.0,34,467
50.0,37,464
51.0,37,464
52.0,41,460
53.0,42,459
54.0,46,455
55.0,46,455
56.0,51,450
57.0,54,447
58.0,55,446
59.0,58,443
60.0,63,438
61.0,71,430
62.0,73,428
63.0,75,426
64.0,77,424
65.0,78,423
66.0,82,419
67.0,87,414
68.0,89,412
69.0,93,408
70.0,94,407
71.0,96,405
72.0,99,402
73.0,109,392
74.0,113,388
75.0,118,383
76.0,121,380
77.0,125,376
78.0,129,372
79.0,135,366
80.0,141,360
81.0,143,358
82.0,147,354
83.0,151,350
84.0,156,345
85.0,159,342
86.0,160,341
87.0,164,337
88.0,170,331
89.0,177,324
90.0,181,320
91.0,187,314
92.0,190,311
93.0,199,302
94.0,205,296
95.0,208,293
96.0,211,290
97.0,216,285
98.0,223,278
99.0,230,271
100.0,232,269
101.0,234,267
102.0,238,263
103.0,242,259
104.0,249,252
105.0,254,247
106.0,257,244
107.0,259,242
108.0,264,237
109.0,269,232
110.0,276,225
111.0,282,219
112.0,292,209
113.0,300,201
114.0,308,193
115.0,315,186
116.0,324,177
117.0,332,169
118.0,341,160
119.0,350,151
120.0,359,142
121.0,362,139
122.0,369,132
123.0,373,128
124.0,380,121
125.0,385,116
126.0,396,105
127.0,406,95
128.0,408,93
129.0,413,88
130.0,421,80
131.0,426,75
132.0,428,73
133.0,435,66
134.0,441,60
135.0,445,56
136.0,452,49
137.0,458,43
138.0,463,38
139.0,468,33
140.0,471,30
141.0,473,28
142.0,477,24
143.0,480,21
144.0,484,17
145.0,486,15
146.0,488,13
147.0,488,13
148.0,490,11
149.0,491,10
150.0,493,8
151.0,494,7
152.0,495,6
153.0,498,3
154.0,499,2
155.0,500,1
156.0,500,1
157.0,500,1
158.0,500,1
159.0,500,1
160.0,500,1
161.0,501,0
162.0,501,0
163.0,501,0
164.0,501,0
165.0,501,0
166.0,501,0
167.0,501,0
168.0,501,0
169.0,501,0
170.0,501,0
171.0,501,0
172.0,501,0
173.0,501,0
174.0,501,0
175.0,501,0
176.0,501,0
177.0,501,0
178.0,501,0
179.0,501,0
180.0,501,0
181.0,501,0
182.0,501,0
183.0,501,0
184.0,501,0
185.0,501,0
186.0,501,0
187.0,501,0
188.0,501,0
189.0,501,0
190.0,501,0
191.0,501,0
192.0,501,0
193.0,501,0
194.0,501,0
195.0,501,0
196.0,501,0
197.0,501,0
198.0,501,0
199.0,501,0
200.0,501,0
201.0,501,0
202.0,501,0
203.0,501,0
204.0,501,0
205.0,501,0
206.0,501,0
207.0,501,0
208.0,501,0
209.0,501,0
210.0,501,0
211.0,501,0
212.0,501,0
213.0,501,0
214.0,501,0
215.0,501,0
216.0,501,0
217.0,501,0
218.0,501,0
219.0,501,0
220.0,501,0
221.0,501,0
222.0,501,0
223.0,501,0
224.0,501,0
225.0,501,0
226.0,501,0
227.0,501,0
228.0,501,0
229.0,501,0
230.0,501,0
231.0,501,0
232.0,501,0
233.0,501,0
234.0,501,0
235.0,501,0
236.0,501,0
237.0,501,0
238.0,501,0
239.0,501,0
240.0,501,0
241.0,501,0
242.0,501,0
243.0,501,0
244.0,501,0
